Density,cohesion, friction, angle,Height,ru,Status
23.47,0,32,37,214,0.25,Failure
24.86,45.6,39.8,36.31,386.08,0.21,Stable
17.2,10,24.25,17.07,38,0.4,Stable
14.8,0,17,20,50,0,Failure
17.86,0,24.38,22.44,8.23,0.39,Stable
18.82,25,14.6,20.32,50,0.4,Failure
18.8292,10.35345,21.285,34.026,37,0.3,Failure
18.84,57.46,20,20,30.5,0.25,Stable
31.3,68.6,37,47,305,0.25,Stable
28.01,9.5,37.36,41.86,538.1,0.23,Stable
25,63,32,44.5,239,0.25,Stable
18.6,0,32,21.8,46,0.25,Stable
25.8,38.2,33,27,40,0,Stable
31.3,68,37,49,200.5,0.29,Failure
16,70,20,40,115,0.25,Failure
22,0,40,33,8,0.393,Stable
25,46,35,50,284,0.25,Stable
20.6,27.8,27,35,70,0,Failure
22,40,30,30,196,0,Stable
18.9712,30.01,35.01,34.98,11,0.2,Stable
26.2,43.8,38,35,68,0,Stable
17.9772,4.95165,30.015,19.981,8,0.3,Stable
22.4,28.9,24,28,35,0,Failure
25.6,39.8,36,30,32,0,Stable
19.36,19.8,38.49,43.41,48.88,0.43,Failure
20.41,24.9,13,22,10.7,0.35,Stable
23.5,10,27,26,190,0,Failure
17.4,20,24,18.43,51,0.4,Failure
17.6,10,8,21.8,9,0.4,Stable
22.3792,10.05335,35.01,29.998,10,0,Stable
21.7828,8.55285,31.995,27.984,12.8,0.49,Failure
19.63,11.97,20,22,12.19,0.405,Failure
25,48,40,45,330,0.25,Stable
25.8,39.4,33,25,45,0,Stable
27,40,35,47.1,292,0.25,Failure
12,0,30,35,8,0.25,Failure
22.3792,99.9333,45,44.997,15,0.25,Stable
16.5,11.49,0,30,3.66,0.25,Failure
25.8,34.7,33,30,50,0,Stable
26.62,0,31.78,42.72,51.48,0.4,Failure
24,0,40,33,8,0.3,Stable
18.84,0,20,20,7.62,0,Failure
18.7724,25.05835,19.98,29.998,50,0.2,Failure
22,21,23,30,257,0,Failure
23.2,9.5,39.69,39.34,10.49,0.44,Failure
21.78,0,34.2,35,7.13,0.32,Stable
14.8,0,17,20,50,0.25,Failure
31.3,68,37,47,213,0,Failure
